,Time,Open,High,Close,Low
0,2024-07-12,194.8000,196.4700,194.4900,193.8301
1,2024-07-11,200.0900,200.2699,195.0500,192.8600
2,2024-07-10,199.9950,200.1100,199.7900,197.6900
3,2024-07-09,199.4000,200.5700,199.3400,199.0450
4,2024-07-08,200.0400,201.2000,199.2900,197.9600
5,2024-07-05,198.6500,200.5500,200.0000,198.1700
6,2024-07-03,199.9400,200.0290,197.5900,196.7601
7,2024-07-02,197.2800,200.4300,200.0000,195.9300
8,2024-07-01,193.4900,198.2957,197.2000,192.8200
9,2024-06-28,197.7300,198.8500,193.2500,192.5000
10,2024-06-27,195.0050,199.8400,197.8500,194.2000
11,2024-06-26,186.9200,194.8000,193.6100,186.2600
12,2024-06-25,186.8100,188.8400,186.3400,185.4200
13,2024-06-24,189.3300,191.0000,185.5700,185.3300
14,2024-06-21,187.8000,189.2750,189.0800,185.8600
15,2024-06-20,182.9100,186.5100,186.1000,182.7200
16,2024-06-18,183.7350,184.2900,182.8100,181.4300
17,2024-06-17,182.5200,185.0000,184.0600,181.2200
18,2024-06-14,183.0800,183.7200,183.6600,182.2300
19,2024-06-13,186.0900,187.6700,183.8300,182.6660
20,2024-06-12,188.0150,188.3500,186.8900,185.4300
21,2024-06-11,187.0600,187.7700,187.2300,184.5373
22,2024-06-10,184.0700,187.2300,187.0600,183.7900
23,2024-06-07,184.9000,186.2888,184.3000,183.3600
24,2024-06-06,181.7450,185.0000,185.0000,181.4900
25,2024-06-05,180.1000,181.5000,181.2800,178.7500
26,2024-06-04,177.6400,179.8200,179.3400,176.4400
27,2024-06-03,177.7000,178.7000,178.3400,175.9200
28,2024-05-31,178.3000,179.2100,176.4400,173.8700
29,2024-05-30,181.3100,181.3400,179.3200,178.3550
30,2024-05-29,181.7000,184.0800,182.0200,181.5500
31,2024-05-28,179.9300,182.2400,182.1500,179.4900
32,2024-05-24,181.6500,182.4350,180.7500,180.3000
33,2024-05-23,183.6600,184.7600,181.0500,180.0800
34,2024-05-22,183.8800,185.2200,183.1300,181.9715
35,2024-05-21,182.3000,183.2600,183.1500,180.7500
36,2024-05-20,184.3400,186.6650,183.5400,183.2800
37,2024-05-17,183.7600,185.3000,184.7000,183.3500
38,2024-05-16,185.6000,187.3100,183.6300,183.4600
39,2024-05-15,185.9700,186.7193,185.9900,182.7300
40,2024-05-14,183.8200,187.7200,187.0700,183.4500
41,2024-05-13,188.0000,188.3100,186.5700,185.3600
42,2024-05-10,189.1600,189.8920,187.4800,186.9300
43,2024-05-09,188.8800,191.7000,189.5000,187.4400
44,2024-05-08,187.4400,188.4300,188.0000,186.3850
45,2024-05-07,188.9200,189.9400,188.7600,187.3050
46,2024-05-06,186.2800,188.7450,188.7000,184.8000
47,2024-05-03,186.9900,187.8700,186.2100,185.4200
48,2024-05-02,180.8500,185.1000,184.7200,179.9100
49,2024-05-01,181.6350,185.1500,179.0000,176.5600
50,2024-04-30,181.0900,182.9900,175.0000,174.8000
51,2024-04-29,182.7500,183.5300,180.9600,179.3900
52,2024-04-26,177.7950,180.8200,179.6200,176.1300
53,2024-04-25,169.6800,173.9200,173.6700,166.3200
54,2024-04-24,179.9400,180.3230,176.5900,176.1800
55,2024-04-23,178.0800,179.9300,179.5400,175.9750
56,2024-04-22,176.9400,178.8700,177.2300,174.5600
57,2024-04-19,178.7400,179.0000,174.6300,173.4400
58,2024-04-18,181.4700,182.3900,179.2200,178.6500
59,2024-04-17,184.3100,184.5700,181.2800,179.8200
60,2024-04-16,183.2700,184.8300,183.3200,182.2600
61,2024-04-15,187.4250,188.6900,183.6200,183.0000
62,2024-04-12,187.7200,188.3800,186.1300,185.0800
63,2024-04-11,186.7400,189.7700,189.0500,185.5100
64,2024-04-10,182.7650,186.2699,185.9500,182.6700
65,2024-04-09,187.2400,187.3400,185.6700,184.2000
66,2024-04-08,186.9000,187.2900,185.1900,184.8100
67,2024-04-05,182.3800,186.2700,185.0700,181.9700
68,2024-04-04,184.0000,185.1000,180.0000,180.0000
69,2024-04-03,179.9000,182.8700,182.4100,179.8000
70,2024-04-02,179.0700,180.7900,180.6900,178.3762
71,2024-04-01,180.7900,183.0000,180.9700,179.9500
72,2024-03-28,180.1700,181.7000,180.3800,179.2600
73,2024-03-27,179.8800,180.0000,179.8300,177.3099
74,2024-03-26,180.1500,180.4500,178.3000,177.9500
75,2024-03-25,178.0100,180.9900,179.7100,177.2400
76,2024-03-22,177.7520,179.2550,178.8700,176.7500
77,2024-03-21,179.9880,181.4150,178.1500,178.1500
78,2024-03-20,176.1400,178.5300,178.1500,174.6400
79,2024-03-19,174.2150,176.0900,175.9000,173.5200
80,2024-03-18,175.8000,176.6900,174.4800,174.2800
81,2024-03-15,176.6400,177.9300,174.4200,173.9000
82,2024-03-14,177.6900,179.5300,178.7500,176.4650
83,2024-03-13,175.9000,177.6200,176.5550,175.5500
84,2024-03-12,173.5000,176.7600,175.3900,171.9800
85,2024-03-11,174.3100,174.4700,171.9600,171.4700
86,2024-03-08,176.4400,178.7850,175.3500,174.3300
87,2024-03-07,174.8300,177.9900,176.8200,173.7200
88,2024-03-06,175.5400,176.4600,173.5100,173.2600
89,2024-03-05,176.9300,176.9300,174.1200,173.3030
90,2024-03-04,177.5300,180.1400,177.5800,177.4900
91,2024-03-01,176.7500,178.7250,178.2200,176.0700
92,2024-02-29,173.0100,177.2200,176.7600,172.8500
93,2024-02-28,172.4400,174.0500,173.1600,172.2700
94,2024-02-27,174.0750,174.6200,173.5400,172.8600
95,2024-02-26,175.7000,176.3700,174.7300,174.2600
96,2024-02-23,174.2800,175.7500,174.9900,173.7000
97,2024-02-22,173.1000,174.8000,174.5800,171.7700
98,2024-02-21,168.9400,170.2300,168.5900,167.1400
99,2024-02-20,167.8300,168.7100,167.0800,165.7400
